seno,cosseno,angulo
0.01594,-0.05120,
0.01594,-0.05120,
0.00000,0.00000,
0.01414,-0.05175,
0.01414,-0.05175,
0.00000,0.00000,
0.01235,-0.05213,
0.00000,0.00000,
0.01057,-0.05234,
0.01057,-0.05234,
0.00000,0.00000,
0.00879,-0.05239,
0.00879,-0.05239,
0.00000,0.00000,
0.00702,-0.05228,
0.00000,0.00000,
0.00526,-0.05201,
0.00526,-0.05201,
0.00000,0.00000,
0.00350,-0.05160,
0.00350,-0.05160,
0.00000,0.00000,
0.00174,-0.05105,
0.00000,0.00000,
-0.00001,-0.05037,
-0.00001,-0.05037,
0.00000,0.00000,
-0.00176,-0.04955,
-0.00176,-0.04955,
0.00000,0.00000,
-0.00351,-0.04862,
0.00000,0.00000,
-0.00526,-0.04758,
-0.00526,-0.04758,
0.00000,0.00000,
-0.00701,-0.04643,
0.00000,0.00000,
-0.00876,-0.04519,
-0.00876,-0.04519,
0.00000,0.00000,
-0.01052,-0.04386,
-0.01052,-0.04386,
0.00000,0.00000,
-0.01228,-0.04246,
0.00000,0.00000,
-0.01404,-0.04098,
-0.01404,-0.04098,
0.00000,0.00000,
-0.01581,-0.03944,
-0.01581,-0.03944,
0.00000,0.00000,
-0.01758,-0.03785,
