Thread, Chamada, T(k), Jitter(k)
Simulacao, 565, 0.010149, 0.000149
Simulacao, 566, 0.010392, 0.000392
Simulacao, 567, 0.010226, 0.000226
Simulacao, 568, 0.010341, 0.000341
Simulacao, 569, 0.010456, 0.000456
Simulacao, 570, 0.010463, 0.000463
Simulacao, 571, 0.010177, 0.000177
Simulacao, 572, 0.010438, 0.000438
Simulacao, 573, 0.010366, 0.000366
Simulacao, 574, 0.010386, 0.000386
Simulacao, 575, 0.010203, 0.000203
Simulacao, 576, 0.010175, 0.000175
Simulacao, 577, 0.010508, 0.000508
Simulacao, 578, 0.010190, 0.000190
Simulacao, 579, 0.010454, 0.000454
Simulacao, 580, 0.010455, 0.000455
Simulacao, 581, 0.010473, 0.000473
Simulacao, 582, 0.010382, 0.000382
Simulacao, 583, 0.010417, 0.000417
Simulacao, 584, 0.010493, 0.000493
Simulacao, 585, 0.010352, 0.000352
Simulacao, 586, 0.010403, 0.000403
Simulacao, 587, 0.010369, 0.000369
Simulacao, 588, 0.010233, 0.000233
Simulacao, 589, 0.010256, 0.000256
Simulacao, 590, 0.010210, 0.000210
Simulacao, 591, 0.010413, 0.000413
Simulacao, 592, 0.010401, 0.000401
Simulacao, 593, 0.010241, 0.000241
Simulacao, 594, 0.010444, 0.000444
Simulacao, 595, 0.010197, 0.000197
Simulacao, 596, 0.010454, 0.000454
Simulacao, 597, 0.010366, 0.000366
Simulacao, 598, 0.010201, 0.000201
Simulacao, 599, 0.010463, 0.000463
Simulacao, 600, 0.010164, 0.000164
Simulacao, 601, 0.010506, 0.000506
Simulacao, 602, 0.010411, 0.000411
Simulacao, 603, 0.010391, 0.000391
Simulacao, 604, 0.010414, 0.000414
Simulacao, 605, 0.010240, 0.000240
Simulacao, 606, 0.010474, 0.000474
Simulacao, 607, 0.010375, 0.000375
Simulacao, 608, 0.010279, 0.000279
Simulacao, 609, 0.010468, 0.000468
Simulacao, 610, 0.010457, 0.000457
Simulacao, 611, 0.010496, 0.000496
Simulacao, 612, 0.010487, 0.000487
Simulacao, 613, 0.010224, 0.000224
Simulacao, 614, 0.010413, 0.000413
Simulacao, 615, 0.010369, 0.000369
Simulacao, 616, 0.010179, 0.000179
Simulacao, 617, 0.010311, 0.000311
Simulacao, 618, 0.010397, 0.000397
Simulacao, 619, 0.010377, 0.000377
Simulacao, 620, 0.010217, 0.000217
Simulacao, 621, 0.010446, 0.000446
Simulacao, 622, 0.010465, 0.000465
Simulacao, 623, 0.010430, 0.000430
Simulacao, 624, 0.010421, 0.000421
Simulacao, 625, 0.010167, 0.000167
Simulacao, 626, 0.010412, 0.000412
Simulacao, 627, 0.010392, 0.000392
Simulacao, 628, 0.010515, 0.000515
Simulacao, 629, 0.010455, 0.000455
Simulacao, 630, 0.010465, 0.000465
Simulacao, 631, 0.010404, 0.000404
Simulacao, 632, 0.010384, 0.000384
Simulacao, 633, 0.010472, 0.000472
Simulacao, 634, 0.010461, 0.000461
Simulacao, 635, 0.010338, 0.000338
Simulacao, 636, 0.010450, 0.000450
Simulacao, 637, 0.010473, 0.000473
Simulacao, 638, 0.010475, 0.000475
Simulacao, 639, 0.010483, 0.000483
Simulacao, 640, 0.010458, 0.000458
Simulacao, 641, 0.010177, 0.000177
Simulacao, 642, 0.010274, 0.000274
Simulacao, 643, 0.010409, 0.000409
Simulacao, 644, 0.010431, 0.000431
Simulacao, 645, 0.010149, 0.000149
Simulacao, 646, 0.010414, 0.000414
Simulacao, 647, 0.010461, 0.000461
Simulacao, 648, 0.010455, 0.000455
Simulacao, 649, 0.010372, 0.000372
Simulacao, 650, 0.010194, 0.000194
Simulacao, 651, 0.010427, 0.000427
Simulacao, 652, 0.010203, 0.000203
Simulacao, 653, 0.010463, 0.000463
Simulacao, 654, 0.010460, 0.000460
Simulacao, 655, 0.010244, 0.000244
Simulacao, 656, 0.010369, 0.000369
Simulacao, 657, 0.010460, 0.000460
Simulacao, 658, 0.010465, 0.000465
Simulacao, 659, 0.010469, 0.000469
Simulacao, 660, 0.010459, 0.000459
Simulacao, 661, 0.010380, 0.000380
Simulacao, 662, 0.010464, 0.000464
