Tempo, ymy
13.51, -0.1461
13.52, -0.1496
13.53, -0.1531
13.54, -0.1566
13.55, -0.1600
13.56, -0.1635
13.57, -0.1670
13.58, -0.1704
13.59, -0.1739
13.60, -0.1773
13.61, -0.1808
13.62, -0.1842
13.63, -0.1876
13.64, -0.1910
13.65, -0.1944
13.66, -0.1978
13.67, -0.2012
13.68, -0.2046
13.69, -0.2080
13.70, -0.2114
13.71, -0.2147
13.72, -0.2181
13.73, -0.2214
13.74, -0.2248
13.75, -0.2281
13.76, -0.2314
13.77, -0.2348
13.78, -0.2381
13.79, -0.2414
13.80, -0.2447
13.81, -0.2479
13.82, -0.2512
13.83, -0.2545
13.84, -0.2577
13.85, -0.2610
13.86, -0.2642
13.87, -0.2675
13.88, -0.2707
13.89, -0.2739
13.90, -0.2771
13.91, -0.2803
13.92, -0.2834
13.93, -0.2866
13.94, -0.2898
13.95, -0.2929
