Tempo,VelLinear(v),VelAngular(w),PosX_Frente(x),PosY_Frente(y)
10.110000,1.000000,-0.628319,0.249679,-0.010989
10.140000,1.000000,-0.628319,0.299211,-0.018826
10.170000,1.000000,-0.628319,0.299211,-0.018826
10.200000,1.000000,-0.628319,0.348472,-0.028215
10.230000,1.000000,-0.628319,0.348472,-0.028215
10.260000,1.000000,-0.628319,0.397414,-0.039147
10.290000,1.000000,-0.628319,0.445988,-0.051611
10.320000,1.000000,-0.628319,0.445988,-0.051611
10.350000,1.000000,-0.628319,0.494147,-0.065594
10.380000,1.000000,-0.628319,0.494147,-0.065594
10.410000,1.000000,-0.628319,0.541843,-0.081084
10.440000,1.000000,-0.628319,0.589028,-0.098063
10.470000,1.000000,-0.628319,0.589028,-0.098063
10.500000,1.000000,-0.628319,0.635657,-0.116517
10.530000,1.000000,-0.628319,0.635657,-0.116517
10.560000,1.000000,-0.628319,0.681684,-0.136426
10.590000,1.000000,-0.628319,0.727062,-0.157771
10.620000,1.000000,-0.628319,0.727062,-0.157771
10.650000,1.000000,-0.628319,0.771748,-0.180530
10.680000,1.000000,-0.628319,0.771748,-0.180530
10.710000,1.000000,-0.628319,0.815696,-0.204682
10.740000,1.000000,-0.628319,0.858865,-0.230203
10.770000,1.000000,-0.628319,0.858865,-0.230203
10.800000,1.000000,-0.628319,0.901210,-0.257067
10.830000,1.000000,-0.628319,0.901210,-0.257067
10.860000,1.000000,-0.628319,0.942691,-0.285248
10.890000,1.000000,-0.628319,0.983266,-0.314718
10.920000,1.000000,-0.628319,0.983266,-0.314718
10.950000,1.000000,-0.628319,1.022895,-0.345448
10.980000,1.000000,-0.628319,1.022895,-0.345448
11.010000,1.000000,-0.628319,1.061539,-0.377407
11.040000,1.000000,-0.628319,1.099161,-0.410565
11.070000,1.000000,-0.628319,1.099161,-0.410565
11.100000,1.000000,-0.628319,1.135723,-0.444887
11.130000,1.000000,-0.628319,1.135723,-0.444887
11.160000,1.000000,-0.628319,1.171188,-0.480342
11.190000,1.000000,-0.628319,1.205522,-0.516893
11.220000,1.000000,-0.628319,1.205522,-0.516893
11.250000,1.000000,-0.628319,1.238691,-0.554504
11.280000,1.000000,-0.628319,1.238691,-0.554504
11.310000,1.000000,-0.628319,1.270663,-0.593139
11.340000,1.000000,-0.628319,1.301405,-0.632758
11.370000,1.000000,-0.628319,1.301405,-0.632758
11.400000,1.000000,-0.628319,1.330887,-0.673324
11.430000,1.000000,-0.628319,1.330887,-0.673324
11.460000,1.000000,-0.628319,1.359081,-0.714796
11.490000,1.000000,-0.628319,1.385958,-0.757133
11.520000,1.000000,-0.628319,1.385958,-0.757133
11.550000,1.000000,-0.628319,1.411492,-0.800294
11.580000,1.000000,-0.628319,1.411492,-0.800294
11.610000,1.000000,-0.628319,1.435657,-0.844235
11.640000,1.000000,-0.628319,1.458431,-0.888913
11.670000,1.000000,-0.628319,1.458431,-0.888913
11.700000,1.000000,-0.628319,1.479790,-0.934285
11.730000,1.000000,-0.628319,1.499713,-0.980305
11.760000,1.000000,-0.628319,1.499713,-0.980305
11.790000,1.000000,-0.628319,1.518181,-1.026929
11.820000,1.000000,-0.628319,1.518181,-1.026929
11.850000,1.000000,-0.628319,1.535175,-1.074109
11.880000,1.000000,-0.628319,1.550679,-1.121800
11.910000,1.000000,-0.628319,1.550679,-1.121800
11.940000,1.000000,-0.628319,1.564677,-1.169955
11.970000,1.000000,-0.628319,1.564677,-1.169955
12.000000,1.000000,-0.628319,1.577156,-1.218525
12.030000,1.000000,-0.628319,1.588103,-1.267464
12.060000,1.000000,-0.628319,1.588103,-1.267464
12.090000,1.000000,-0.628319,1.597507,-1.316722
12.120000,1.000000,-0.628319,1.597507,-1.316722
12.150000,1.000000,-0.628319,1.605360,-1.366251
12.180000,1.000000,-0.628319,1.611653,-1.416002
12.210000,1.000000,-0.628319,1.611653,-1.416002
12.240000,1.000000,-0.628319,1.616380,-1.465927
12.270000,1.000000,-0.628319,1.616380,-1.465927
12.300000,1.000000,-0.628319,1.619536,-1.515975
12.330000,1.000000,-0.628319,1.621119,-1.566098
12.360000,1.000000,-0.628319,1.621119,-1.566098
12.390000,1.000000,-0.628319,1.621127,-1.616246
12.420000,1.000000,-0.628319,1.621127,-1.616246
12.450000,1.000000,-0.628319,1.619560,-1.666369
12.480000,1.000000,-0.628319,1.616419,-1.716419
12.510000,1.000000,-0.628319,1.616419,-1.716419
12.540000,1.000000,-0.628319,1.611707,-1.766345
12.570000,1.000000,-0.628319,1.611707,-1.766345
12.600000,1.000000,-0.628319,1.605429,-1.816098
12.630000,1.000000,-0.628319,1.597592,-1.865629
12.660000,1.000000,-0.628319,1.597592,-1.865629
12.690000,1.000000,-0.628319,1.588203,-1.914890
12.720000,1.000000,-0.628319,1.588203,-1.914890
12.750000,1.000000,-0.628319,1.577271,-1.963832
12.780000,1.000000,-0.628319,1.564807,-2.012407
12.810000,1.000000,-0.628319,1.564807,-2.012407
12.840000,1.000000,-0.628319,1.550824,-2.060565
12.870000,1.000000,-0.628319,1.550824,-2.060565
12.900000,1.000000,-0.628319,1.535335,-2.108261
12.930000,1.000000,-0.628319,1.518355,-2.155447
12.960000,1.000000,-0.628319,1.518355,-2.155447
12.990000,1.000000,-0.628319,1.499902,-2.202076
13.020000,1.000000,-0.628319,1.499902,-2.202076
13.050000,1.000000,-0.628319,1.479993,-2.248102
13.080000,1.000000,-0.628319,1.458648,-2.293481
13.110000,1.000000,-0.628319,1.458648,-2.293481
13.140000,1.000000,-0.628319,1.435888,-2.338166
13.170000,1.000000,-0.628319,1.435888,-2.338166
13.200000,1.000000,-0.628319,1.411736,-2.382115
13.230000,1.000000,-0.628319,1.386215,-2.425283
13.260000,1.000000,-0.628319,1.386215,-2.425283
13.290000,1.000000,-0.628319,1.359351,-2.467629
13.320000,1.000000,-0.628319,1.359351,-2.467629
13.350000,1.000000,-0.628319,1.331171,-2.509109
13.380000,1.000000,-0.628319,1.301701,-2.549684
13.410000,1.000000,-0.628319,1.301701,-2.549684
13.440000,1.000000,-0.628319,1.270971,-2.589314
13.470000,1.000000,-0.628319,1.270971,-2.589314
13.500000,1.000000,-0.628319,1.239011,-2.627958
13.530000,1.000000,-0.628319,1.205854,-2.665580
13.560000,1.000000,-0.628319,1.205854,-2.665580
13.590000,1.000000,-0.628319,1.171531,-2.702141
13.620000,1.000000,-0.628319,1.171531,-2.702141
13.650000,1.000000,-0.628319,1.136077,-2.737606
13.680000,1.000000,-0.628319,1.099526,-2.771941
13.710000,1.000000,-0.628319,1.099526,-2.771941
13.740000,1.000000,-0.628319,1.061914,-2.805110
13.770000,1.000000,-0.628319,1.061914,-2.805110
13.800000,1.000000,-0.628319,1.023280,-2.837081
13.830000,1.000000,-0.628319,0.983660,-2.867823
13.860000,1.000000,-0.628319,0.983660,-2.867823
13.890000,1.000000,-0.628319,0.943094,-2.897306
13.920000,1.000000,-0.628319,0.943094,-2.897306
13.950000,1.000000,-0.628319,0.901622,-2.925499
13.980000,1.000000,-0.628319,0.859285,-2.952376
14.010000,1.000000,-0.628319,0.859285,-2.952376
14.040000,1.000000,-0.628319,0.816125,-2.977910
14.070000,1.000000,-0.628319,0.816125,-2.977910
14.100000,1.000000,-0.628319,0.772184,-3.002076
14.130000,1.000000,-0.628319,0.727505,-3.024850
14.160000,1.000000,-0.628319,0.727505,-3.024850
14.190000,1.000000,-0.628319,0.682133,-3.046208
14.220000,1.000000,-0.628319,0.682133,-3.046208
14.250000,1.000000,-0.628319,0.636113,-3.066132
14.280000,1.000000,-0.628319,0.589490,-3.084599
14.310000,1.000000,-0.628319,0.589490,-3.084599
14.340000,1.000000,-0.628319,0.542309,-3.101594
14.370000,1.000000,-0.628319,0.542309,-3.101594
14.400000,1.000000,-0.628319,0.494618,-3.117098
14.430000,1.000000,-0.628319,0.446464,-3.131096
14.460000,1.000000,-0.628319,0.446464,-3.131096
14.490000,1.000000,-0.628319,0.397893,-3.143575
14.520000,1.000000,-0.628319,0.397893,-3.143575
14.550000,1.000000,-0.628319,0.348955,-3.154522
14.580000,1.000000,-0.628319,0.299697,-3.163926
14.610000,1.000000,-0.628319,0.299697,-3.163926
14.640000,1.000000,-0.628319,0.250168,-3.171778
14.670000,1.000000,-0.628319,0.250168,-3.171778
14.700000,1.000000,-0.628319,0.200416,-3.178071
14.730000,1.000000,-0.628319,0.150492,-3.182798
14.760000,1.000000,-0.628319,0.150492,-3.182798
14.790000,1.000000,-0.628319,0.100443,-3.185955
14.820000,1.000000,-0.628319,0.100443,-3.185955
14.850000,1.000000,-0.628319,0.050320,-3.187538
14.880000,1.000000,-0.628319,0.000173,-3.187546
14.910000,1.000000,-0.628319,0.000173,-3.187546
14.940000,1.000000,-0.628319,-0.049951,-3.185978
14.970000,1.000000,-0.628319,-0.049951,-3.185978
15.000000,1.000000,-0.628319,-0.100000,-3.182837
15.030000,1.000000,-0.628319,-0.149926,-3.178125
15.060000,1.000000,-0.628319,-0.149926,-3.178125
15.090000,1.000000,-0.628319,-0.199679,-3.171848
15.120000,1.000000,-0.628319,-0.199679,-3.171848
15.150000,1.000000,-0.628319,-0.249211,-3.164011
15.180000,1.000000,-0.628319,-0.298472,-3.154622
15.210000,1.000000,-0.628319,-0.298472,-3.154622
15.240000,1.000000,-0.628319,-0.347414,-3.143690
15.270000,1.000000,-0.628319,-0.347414,-3.143690
15.300000,1.000000,-0.628319,-0.395988,-3.131226
15.330000,1.000000,-0.628319,-0.444147,-3.117243
15.360000,1.000000,-0.628319,-0.444147,-3.117243
15.390000,1.000000,-0.628319,-0.491843,-3.101753
15.420000,1.000000,-0.628319,-0.491843,-3.101753
15.450000,1.000000,-0.628319,-0.539028,-3.084774
15.480000,1.000000,-0.628319,-0.585657,-3.066320
15.510000,1.000000,-0.628319,-0.585657,-3.066320
15.540000,1.000000,-0.628319,-0.631684,-3.046411
15.570000,1.000000,-0.628319,-0.631684,-3.046411
15.600000,1.000000,-0.628319,-0.677062,-3.025066
15.630000,1.000000,-0.628319,-0.721748,-3.002307
15.660000,1.000000,-0.628319,-0.721748,-3.002307
15.690000,1.000000,-0.628319,-0.765696,-2.978155
15.720000,1.000000,-0.628319,-0.765696,-2.978155
15.750000,1.000000,-0.628319,-0.808865,-2.952634
15.780000,1.000000,-0.628319,-0.851210,-2.925770
15.810000,1.000000,-0.628319,-0.851210,-2.925770
15.840000,1.000000,-0.628319,-0.892691,-2.897589
