Tempo, Xref, Yref
5.73, 0.2731, -0.9564
5.74, 0.2683, -0.9546
5.75, 0.2634, -0.9528
5.76, 0.2586, -0.9510
5.77, 0.2538, -0.9491
5.78, 0.2489, -0.9472
5.79, 0.2441, -0.9453
5.80, 0.2392, -0.9433
5.81, 0.2344, -0.9413
5.82, 0.2295, -0.9392
5.83, 0.2247, -0.9372
5.84, 0.2198, -0.9350
5.85, 0.2149, -0.9329
5.86, 0.2100, -0.9307
5.87, 0.2051, -0.9285
5.88, 0.2002, -0.9263
5.89, 0.1953, -0.9240
5.90, 0.1904, -0.9217
5.91, 0.1855, -0.9193
5.92, 0.1806, -0.9170
5.93, 0.1757, -0.9145
5.94, 0.1708, -0.9121
5.95, 0.1658, -0.9096
5.96, 0.1609, -0.9071
5.97, 0.1560, -0.9046
5.98, 0.1510, -0.9020
5.99, 0.1461, -0.8994
6.00, 0.1411, -0.8968
6.01, 0.1362, -0.8941
6.02, 0.1312, -0.8914
6.03, 0.1263, -0.8886
6.04, 0.1213, -0.8859
6.05, 0.1163, -0.8831
6.06, 0.1114, -0.8803
6.07, 0.1064, -0.8774
6.08, 0.1014, -0.8745
6.09, 0.0964, -0.8716
6.10, 0.0915, -0.8686
6.11, 0.0865, -0.8656
6.12, 0.0815, -0.8626
6.13, 0.0765, -0.8596
6.14, 0.0715, -0.8565
6.15, 0.0665, -0.8534
6.16, 0.0616, -0.8502
6.17, 0.0566, -0.8470
6.18, 0.0516, -0.8438
6.19, 0.0466, -0.8406
6.20, 0.0416, -0.8373
6.21, 0.0366, -0.8340
6.22, 0.0316, -0.8307
6.23, 0.0266, -0.8274
6.24, 0.0216, -0.8240
6.25, 0.0166, -0.8206
6.26, 0.0116, -0.8171
6.27, 0.0066, -0.8136
6.28, 0.0016, -0.8101
6.29, -0.0034, -0.8066
6.30, -0.0084, -0.8030
6.31, -0.0134, -0.7995
6.32, -0.0184, -0.7958
6.33, -0.0234, -0.7922
6.34, -0.0284, -0.7885
6.35, -0.0334, -0.7848
6.36, -0.0384, -0.7811
6.37, -0.0434, -0.7773
6.38, -0.0484, -0.7735
6.39, -0.0534, -0.7697
6.40, -0.0584, -0.7659
6.41, -0.0634, -0.7620
6.42, -0.0684, -0.7581
6.43, -0.0733, -0.7542
6.44, -0.0783, -0.7502
6.45, -0.0833, -0.7462
6.46, -0.0883, -0.7422
6.47, -0.0933, -0.7382
6.48, -0.0982, -0.7341
6.49, -0.1032, -0.7300
6.50, -0.1082, -0.7259
6.51, -0.1132, -0.7218
6.52, -0.1181, -0.7176
6.53, -0.1231, -0.7134
6.54, -0.1281, -0.7092
6.55, -0.1330, -0.7050
6.56, -0.1380, -0.7007
6.57, -0.1429, -0.6964
6.58, -0.1479, -0.6921
6.59, -0.1528, -0.6878
6.60, -0.1577, -0.6834
6.61, -0.1627, -0.6790
6.62, -0.1676, -0.6746
6.63, -0.1725, -0.6701
6.64, -0.1775, -0.6657
6.65, -0.1824, -0.6612
6.66, -0.1873, -0.6567
6.67, -0.1922, -0.6521
6.68, -0.1971, -0.6476
6.69, -0.2020, -0.6430
6.70, -0.2069, -0.6384
6.71, -0.2118, -0.6337
6.72, -0.2167, -0.6291
6.73, -0.2216, -0.6244
6.74, -0.2264, -0.6197
6.75, -0.2313, -0.6150
6.76, -0.2362, -0.6103
6.77, -0.2410, -0.6055
6.78, -0.2459, -0.6007
6.79, -0.2507, -0.5959
6.80, -0.2555, -0.5911
6.81, -0.2604, -0.5862
6.82, -0.2652, -0.5814
6.83, -0.2700, -0.5765
6.84, -0.2748, -0.5715
6.85, -0.2796, -0.5666
6.86, -0.2844, -0.5617
6.87, -0.2892, -0.5567
6.88, -0.2940, -0.5517
6.89, -0.2988, -0.5467
6.90, -0.3035, -0.5416
6.91, -0.3083, -0.5366
6.92, -0.3131, -0.5315
6.93, -0.3178, -0.5264
6.94, -0.3225, -0.5213
6.95, -0.3273, -0.5162
6.96, -0.3320, -0.5110
6.97, -0.3367, -0.5059
6.98, -0.3414, -0.5007
6.99, -0.3461, -0.4955
7.00, -0.3508, -0.4903
7.01, -0.3555, -0.4850
7.02, -0.3601, -0.4798
7.03, -0.3648, -0.4745
7.04, -0.3694, -0.4692
7.05, -0.3741, -0.4639
7.06, -0.3787, -0.4586
7.07, -0.3833, -0.4532
7.08, -0.3880, -0.4479
7.09, -0.3926, -0.4425
7.10, -0.3971, -0.4371
7.11, -0.4017, -0.4317
7.12, -0.4063, -0.4263
7.13, -0.4109, -0.4209
7.14, -0.4154, -0.4154
7.15, -0.4200, -0.4099
7.16, -0.4245, -0.4045
7.17, -0.4290, -0.3990
7.18, -0.4335, -0.3935
7.19, -0.4380, -0.3879
7.20, -0.4425, -0.3824
7.21, -0.4470, -0.3768
7.22, -0.4515, -0.3713
7.23, -0.4559, -0.3657
7.24, -0.4604, -0.3601
7.25, -0.4648, -0.3545
7.26, -0.4692, -0.3489
7.27, -0.4736, -0.3433
7.28, -0.4780, -0.3376
7.29, -0.4824, -0.3320
7.30, -0.4868, -0.3263
7.31, -0.4911, -0.3206
7.32, -0.4955, -0.3149
7.33, -0.4998, -0.3092
7.34, -0.5042, -0.3035
7.35, -0.5085, -0.2978
7.36, -0.5128, -0.2921
7.37, -0.5171, -0.2863
7.38, -0.5213, -0.2806
7.39, -0.5256, -0.2748
7.40, -0.5298, -0.2690
7.41, -0.5341, -0.2632
7.42, -0.5383, -0.2575
7.43, -0.5425, -0.2517
7.44, -0.5467, -0.2458
7.45, -0.5509, -0.2400
7.46, -0.5550, -0.2342
7.47, -0.5592, -0.2284
7.48, -0.5633, -0.2225
7.49, -0.5675, -0.2167
7.50, -0.5716, -0.2108
7.51, -0.5757, -0.2049
7.52, -0.5797, -0.1991
7.53, -0.5838, -0.1932
7.54, -0.5879, -0.1873
7.55, -0.5919, -0.1814
7.56, -0.5959, -0.1755
7.57, -0.5999, -0.1696
7.58, -0.6039, -0.1636
7.59, -0.6079, -0.1577
7.60, -0.6119, -0.1518
7.61, -0.6158, -0.1459
7.62, -0.6197, -0.1399
7.63, -0.6237, -0.1340
7.64, -0.6276, -0.1280
7.65, -0.6314, -0.1221
7.66, -0.6353, -0.1161
7.67, -0.6392, -0.1102
7.68, -0.6430, -0.1042
7.69, -0.6468, -0.0982
7.70, -0.6506, -0.0923
7.71, -0.6544, -0.0863
7.72, -0.6582, -0.0803
7.73, -0.6619, -0.0743
7.74, -0.6657, -0.0683
7.75, -0.6694, -0.0623
7.76, -0.6731, -0.0564
7.77, -0.6768, -0.0504
7.78, -0.6805, -0.0444
7.79, -0.6841, -0.0384
7.80, -0.6878, -0.0324
7.81, -0.6914, -0.0264
7.82, -0.6950, -0.0204
7.83, -0.6986, -0.0144
7.84, -0.7021, -0.0084
7.85, -0.7057, -0.0024
7.86, -0.7092, 0.0036
7.87, -0.7127, 0.0096
7.88, -0.7162, 0.0156
7.89, -0.7197, 0.0216
7.90, -0.7232, 0.0276
7.91, -0.7266, 0.0336
7.92, -0.7301, 0.0396
7.93, -0.7335, 0.0456
7.94, -0.7369, 0.0516
7.95, -0.7402, 0.0576
7.96, -0.7436, 0.0636
7.97, -0.7469, 0.0696
7.98, -0.7502, 0.0755
7.99, -0.7535, 0.0815
8.00, -0.7568, 0.0875
8.01, -0.7601, 0.0935
8.02, -0.7633, 0.0994
8.03, -0.7665, 0.1054
8.04, -0.7697, 0.1114
8.05, -0.7729, 0.1173
8.06, -0.7761, 0.1233
8.07, -0.7792, 0.1292
8.08, -0.7823, 0.1352
8.09, -0.7854, 0.1411
8.10, -0.7885, 0.1471
8.11, -0.7916, 0.1530
8.12, -0.7946, 0.1589
8.13, -0.7977, 0.1649
8.14, -0.8007, 0.1708
8.15, -0.8037, 0.1767
8.16, -0.8066, 0.1826
8.17, -0.8096, 0.1885
8.18, -0.8125, 0.1944
8.19, -0.8154, 0.2002
8.20, -0.8183, 0.2061
8.21, -0.8211, 0.2120
