Tempo, Posicao X, Posicao Y, Orientacao
6.360000, -0.033167, 0.001148, 6.240000
6.390000, -0.013182, 0.000385, 6.260000
6.420000, 0.016815, -0.000011, 6.290000
6.450000, 0.046809, 0.000494, 6.320000
6.480000, 0.076776, 0.001897, 6.350000
6.510000, 0.106686, 0.004200, 6.380000
6.540000, 0.136514, 0.007398, 6.410000
6.570000, 0.166233, 0.011489, 6.440000
6.600000, 0.195815, 0.016470, 6.470000
6.630000, 0.225235, 0.022337, 6.500000
6.660000, 0.254466, 0.029083, 6.530000
6.690000, 0.283481, 0.036702, 6.560000
6.720000, 0.312255, 0.045189, 6.590000
6.750000, 0.340761, 0.054535, 6.620000
6.780000, 0.368973, 0.064732, 6.650000
6.810000, 0.396868, 0.075770, 6.680000
6.840000, 0.424418, 0.087640, 6.710000
6.870000, 0.451601, 0.100332, 6.740000
6.900000, 0.469505, 0.109243, 6.760000
6.930000, 0.496019, 0.123277, 6.790000
6.960000, 0.522100, 0.138100, 6.820000
6.990000, 0.547725, 0.153698, 6.850000
7.020000, 0.572870, 0.170059, 6.880000
7.050000, 0.597514, 0.187166, 6.910000
7.080000, 0.621633, 0.205004, 6.940000
7.110000, 0.645206, 0.223558, 6.970000
7.140000, 0.668212, 0.242811, 7.000000
7.170000, 0.690630, 0.262745, 7.030000
7.200000, 0.712440, 0.283342, 7.060000
7.230000, 0.733622, 0.304585, 7.090000
7.260000, 0.754158, 0.326453, 7.120000
7.290000, 0.774028, 0.348928, 7.150000
7.320000, 0.793216, 0.371988, 7.180000
7.350000, 0.811703, 0.395614, 7.210000
7.380000, 0.829473, 0.419783, 7.240000
7.410000, 0.840914, 0.436188, 7.260000
7.440000, 0.857454, 0.461215, 7.290000
7.470000, 0.873235, 0.486727, 7.320000
7.500000, 0.888245, 0.512701, 7.350000
7.530000, 0.902468, 0.539114, 7.380000
7.560000, 0.915893, 0.565942, 7.410000
7.590000, 0.928508, 0.593160, 7.440000
7.620000, 0.940300, 0.620744, 7.470000
7.650000, 0.951259, 0.648669, 7.500000
7.680000, 0.961376, 0.676911, 7.530000
7.710000, 0.970641, 0.705443, 7.560000
7.740000, 0.979046, 0.734241, 7.590000
7.770000, 0.986584, 0.763277, 7.620000
7.800000, 0.993247, 0.792527, 7.650000
7.830000, 0.999030, 0.821963, 7.680000
7.860000, 1.003927, 0.851560, 7.710000
7.890000, 1.007934, 0.881290, 7.740000
7.920000, 1.010109, 0.901171, 7.760000
7.950000, 1.012626, 0.931064, 7.790000
7.980000, 1.014244, 0.961020, 7.820000
8.010000, 1.014964, 0.991010, 7.850000
8.040000, 1.014783, 1.021009, 7.880000
8.070000, 1.013703, 1.050988, 7.910000
8.100000, 1.011724, 1.080922, 7.940000
8.130000, 1.008848, 1.110783, 7.970000
8.160000, 1.005078, 1.140544, 8.000000
8.190000, 1.000416, 1.170178, 8.030000
8.220000, 0.994868, 1.199660, 8.060000
8.250000, 0.988438, 1.228962, 8.090000
8.280000, 0.981132, 1.258057, 8.120000
