Thread, Chamada, T(k), Jitter(k)
Simulacao, 416, 0.010278, 0.000278
Simulacao, 417, 0.010396, 0.000396
Simulacao, 418, 0.010397, 0.000397
Simulacao, 419, 0.010402, 0.000402
Simulacao, 420, 0.010130, 0.000130
Simulacao, 421, 0.010169, 0.000169
Simulacao, 422, 0.010402, 0.000402
Simulacao, 423, 0.010397, 0.000397
Simulacao, 424, 0.010147, 0.000147
Simulacao, 425, 0.010411, 0.000411
Simulacao, 426, 0.010196, 0.000196
Simulacao, 427, 0.010406, 0.000406
Simulacao, 428, 0.010141, 0.000141
Simulacao, 429, 0.010195, 0.000195
Simulacao, 430, 0.010192, 0.000192
Simulacao, 431, 0.010168, 0.000168
Simulacao, 432, 0.010161, 0.000161
Simulacao, 433, 0.010399, 0.000399
Simulacao, 434, 0.010182, 0.000182
Simulacao, 435, 0.010401, 0.000401
Simulacao, 436, 0.010178, 0.000178
Simulacao, 437, 0.010299, 0.000299
Simulacao, 438, 0.010279, 0.000279
Simulacao, 439, 0.010406, 0.000406
Simulacao, 440, 0.010199, 0.000199
Simulacao, 441, 0.010196, 0.000196
Simulacao, 442, 0.010403, 0.000403
Simulacao, 443, 0.010384, 0.000384
Simulacao, 444, 0.010193, 0.000193
Simulacao, 445, 0.010407, 0.000407
Simulacao, 446, 0.010141, 0.000141
Simulacao, 447, 0.010406, 0.000406
Simulacao, 448, 0.010396, 0.000396
Simulacao, 449, 0.010141, 0.000141
Simulacao, 450, 0.010388, 0.000388
Simulacao, 451, 0.010194, 0.000194
Simulacao, 452, 0.010222, 0.000222
Simulacao, 453, 0.010404, 0.000404
Simulacao, 454, 0.010392, 0.000392
Simulacao, 455, 0.010401, 0.000401
Simulacao, 456, 0.010405, 0.000405
Simulacao, 457, 0.010404, 0.000404
Simulacao, 458, 0.010401, 0.000401
Simulacao, 459, 0.010405, 0.000405
Simulacao, 460, 0.010417, 0.000417
Simulacao, 461, 0.010401, 0.000401
Simulacao, 462, 0.010404, 0.000404
Simulacao, 463, 0.010202, 0.000202
Simulacao, 464, 0.010409, 0.000409
Simulacao, 465, 0.010407, 0.000407
Simulacao, 466, 0.010411, 0.000411
Simulacao, 467, 0.010369, 0.000369
Simulacao, 468, 0.010405, 0.000405
Simulacao, 469, 0.010173, 0.000173
Simulacao, 470, 0.010179, 0.000179
Simulacao, 471, 0.010342, 0.000342
Simulacao, 472, 0.010156, 0.000156
Simulacao, 473, 0.010393, 0.000393
Simulacao, 474, 0.010400, 0.000400
Simulacao, 475, 0.010157, 0.000157
Simulacao, 476, 0.010394, 0.000394
Simulacao, 477, 0.010189, 0.000189
Simulacao, 478, 0.010183, 0.000183
Simulacao, 479, 0.010387, 0.000387
Simulacao, 480, 0.010137, 0.000137
Simulacao, 481, 0.010180, 0.000180
Simulacao, 482, 0.010401, 0.000401
Simulacao, 483, 0.010402, 0.000402
Simulacao, 484, 0.010185, 0.000185
Simulacao, 485, 0.010194, 0.000194
Simulacao, 486, 0.010406, 0.000406
Simulacao, 487, 0.010145, 0.000145
Simulacao, 488, 0.010387, 0.000387
Simulacao, 489, 0.010417, 0.000417
Simulacao, 490, 0.010141, 0.000141
Simulacao, 491, 0.010402, 0.000402
Simulacao, 492, 0.010405, 0.000405
Simulacao, 493, 0.010135, 0.000135
Simulacao, 494, 0.010176, 0.000176
Simulacao, 495, 0.010403, 0.000403
Simulacao, 496, 0.010201, 0.000201
Simulacao, 497, 0.010194, 0.000194
Simulacao, 498, 0.010137, 0.000137
Simulacao, 499, 0.010184, 0.000184
Simulacao, 500, 0.010398, 0.000398
Simulacao, 501, 0.010404, 0.000404
Simulacao, 502, 0.010400, 0.000400
Simulacao, 503, 0.010416, 0.000416
Simulacao, 504, 0.010178, 0.000178
Simulacao, 505, 0.010398, 0.000398
Simulacao, 506, 0.010415, 0.000415
Simulacao, 507, 0.010139, 0.000139
Simulacao, 508, 0.010212, 0.000212
Simulacao, 509, 0.010168, 0.000168
Simulacao, 510, 0.010129, 0.000129
Simulacao, 511, 0.010401, 0.000401
Simulacao, 512, 0.010138, 0.000138
Simulacao, 513, 0.010259, 0.000259
Simulacao, 514, 0.010180, 0.000180
Simulacao, 515, 0.010400, 0.000400
Simulacao, 516, 0.010174, 0.000174
Simulacao, 517, 0.010391, 0.000391
Simulacao, 518, 0.010192, 0.000192
Simulacao, 519, 0.010185, 0.000185
Simulacao, 520, 0.010414, 0.000414
Simulacao, 521, 0.010398, 0.000398
Simulacao, 522, 0.010181, 0.000181
Simulacao, 523, 0.010408, 0.000408
Simulacao, 524, 0.010201, 0.000201
Simulacao, 525, 0.010131, 0.000131
Simulacao, 526, 0.010379, 0.000379
Simulacao, 527, 0.010172, 0.000172
Simulacao, 528, 0.010167, 0.000167
Simulacao, 529, 0.010194, 0.000194
Simulacao, 530, 0.010283, 0.000283
Simulacao, 531, 0.010143, 0.000143
Simulacao, 532, 0.010132, 0.000132
Simulacao, 533, 0.010398, 0.000398
Simulacao, 534, 0.010192, 0.000192
Simulacao, 535, 0.010195, 0.000195
Simulacao, 536, 0.010402, 0.000402
Simulacao, 537, 0.010196, 0.000196
Simulacao, 538, 0.010196, 0.000196
Simulacao, 539, 0.010201, 0.000201
Simulacao, 540, 0.010139, 0.000139
Simulacao, 541, 0.010401, 0.000401
Simulacao, 542, 0.010401, 0.000401
Simulacao, 543, 0.010170, 0.000170
Simulacao, 544, 0.010354, 0.000354
Simulacao, 545, 0.010406, 0.000406
Simulacao, 546, 0.010195, 0.000195
Simulacao, 547, 0.010134, 0.000134
Simulacao, 548, 0.010126, 0.000126
Simulacao, 549, 0.010201, 0.000201
Simulacao, 550, 0.010402, 0.000402
Simulacao, 551, 0.010325, 0.000325
Simulacao, 552, 0.010188, 0.000188
Simulacao, 553, 0.010402, 0.000402
Simulacao, 554, 0.010405, 0.000405
Simulacao, 555, 0.010184, 0.000184
Simulacao, 556, 0.010405, 0.000405
Simulacao, 557, 0.010397, 0.000397
Simulacao, 558, 0.010170, 0.000170
Simulacao, 559, 0.010401, 0.000401
Simulacao, 560, 0.010409, 0.000409
Simulacao, 561, 0.010131, 0.000131
Simulacao, 562, 0.010351, 0.000351
Simulacao, 563, 0.010181, 0.000181
Simulacao, 564, 0.010401, 0.000401
Simulacao, 565, 0.010182, 0.000182
Simulacao, 566, 0.010372, 0.000372
Simulacao, 567, 0.010404, 0.000404
Simulacao, 568, 0.010147, 0.000147
Simulacao, 569, 0.010194, 0.000194
Simulacao, 570, 0.010438, 0.000438
Simulacao, 571, 0.010420, 0.000420
Simulacao, 572, 0.010415, 0.000415
Simulacao, 573, 0.010204, 0.000204
Simulacao, 574, 0.010406, 0.000406
Simulacao, 575, 0.010184, 0.000184
Simulacao, 576, 0.010412, 0.000412
Simulacao, 577, 0.010135, 0.000135
Simulacao, 578, 0.010169, 0.000169
Simulacao, 579, 0.010399, 0.000399
Simulacao, 580, 0.010397, 0.000397
Simulacao, 581, 0.010133, 0.000133
Simulacao, 582, 0.010406, 0.000406
Simulacao, 583, 0.010402, 0.000402
Simulacao, 584, 0.010142, 0.000142
Simulacao, 585, 0.010142, 0.000142
Simulacao, 586, 0.010204, 0.000204
Simulacao, 587, 0.010188, 0.000188
Simulacao, 588, 0.010265, 0.000265
Simulacao, 589, 0.010167, 0.000167
Simulacao, 590, 0.010139, 0.000139
Simulacao, 591, 0.010407, 0.000407
Simulacao, 592, 0.010404, 0.000404
Simulacao, 593, 0.010141, 0.000141
Simulacao, 594, 0.010184, 0.000184
Simulacao, 595, 0.010404, 0.000404
Simulacao, 596, 0.010199, 0.000199
Simulacao, 597, 0.010140, 0.000140
Simulacao, 598, 0.010383, 0.000383
Simulacao, 599, 0.010194, 0.000194
Simulacao, 600, 0.010215, 0.000215
Simulacao, 601, 0.010404, 0.000404
Simulacao, 602, 0.010128, 0.000128
Simulacao, 603, 0.010383, 0.000383
Simulacao, 604, 0.010408, 0.000408
Simulacao, 605, 0.010190, 0.000190
Simulacao, 606, 0.010405, 0.000405
Simulacao, 607, 0.010279, 0.000279
Simulacao, 608, 0.010171, 0.000171
Simulacao, 609, 0.010404, 0.000404
Simulacao, 610, 0.010407, 0.000407
Simulacao, 611, 0.010401, 0.000401
Simulacao, 612, 0.010196, 0.000196
Simulacao, 613, 0.010405, 0.000405
Simulacao, 614, 0.010403, 0.000403
Simulacao, 615, 0.010187, 0.000187
Simulacao, 616, 0.010224, 0.000224
Simulacao, 617, 0.010196, 0.000196
Simulacao, 618, 0.010168, 0.000168
Simulacao, 619, 0.010196, 0.000196
Simulacao, 620, 0.010197, 0.000197
Simulacao, 621, 0.010402, 0.000402
Simulacao, 622, 0.010147, 0.000147
Simulacao, 623, 0.010407, 0.000407
Simulacao, 624, 0.010195, 0.000195
Simulacao, 625, 0.010293, 0.000293
Simulacao, 626, 0.010259, 0.000259
Simulacao, 627, 0.010402, 0.000402
Simulacao, 628, 0.010205, 0.000205
Simulacao, 629, 0.010403, 0.000403
Simulacao, 630, 0.010406, 0.000406
Simulacao, 631, 0.010193, 0.000193
Simulacao, 632, 0.010124, 0.000124
Simulacao, 633, 0.010111, 0.000111
Simulacao, 634, 0.010166, 0.000166
Simulacao, 635, 0.010162, 0.000162
Simulacao, 636, 0.010180, 0.000180
Simulacao, 637, 0.010183, 0.000183
Simulacao, 638, 0.010195, 0.000195
Simulacao, 639, 0.010170, 0.000170
Simulacao, 640, 0.010237, 0.000237
Simulacao, 641, 0.010391, 0.000391
Simulacao, 642, 0.010398, 0.000398
Simulacao, 643, 0.010203, 0.000203
Simulacao, 644, 0.010401, 0.000401
Simulacao, 645, 0.010105, 0.000105
Simulacao, 646, 0.010119, 0.000119
Simulacao, 647, 0.010191, 0.000191
Simulacao, 648, 0.010177, 0.000177
Simulacao, 649, 0.010189, 0.000189
Simulacao, 650, 0.010402, 0.000402
Simulacao, 651, 0.010167, 0.000167
Simulacao, 652, 0.010387, 0.000387
Simulacao, 653, 0.010407, 0.000407
Simulacao, 654, 0.010408, 0.000408
Simulacao, 655, 0.010195, 0.000195
Simulacao, 656, 0.010190, 0.000190
Simulacao, 657, 0.010156, 0.000156
Simulacao, 658, 0.010194, 0.000194
Simulacao, 659, 0.010169, 0.000169
Simulacao, 660, 0.010401, 0.000401
Simulacao, 661, 0.010200, 0.000200
Simulacao, 662, 0.010406, 0.000406
